candidate_id,"x [nm]","y [nm]",Δx [nm],Δy [nm],p,"t [ms]",Δt [ms],N_events,x_dim [px],y_dim [px],t_dim [ms],frame
0,31746.114554102496,25482.031872604926,5.927664002680276,5.961445530165954,1,847.7266819608002,496.5989263137793,114,9,7,129.226,1
1,27612.68335261571,28106.196510823385,21.79904354876268,6.579104986729907,1,1207.992345163309,1167.8728097711348,70,7,5,141.915,361
2,31687.02932385637,27852.18487221042,6.438475537688406,6.853218949611933,1,1297.0673406166043,0.8952375510313251,113,6,8,95.004,450
3,30021.08924040279,23656.725246101232,8.640068085999781,7.439140308384835,1,1319.0947801204381,58.160046828320276,103,6,7,99.903,472
4,28934.387199335146,26361.29712026039,7.490678803311507,6.908245402445277,1,1417.42308005477,53.25726704989978,97,5,6,129.945,570
5,30935.705227571838,29633.79142124479,5.022288975022224,6.196324281092386,1,1512.3605378669645,489.7999306230544,105,8,7,124.099,665
6,32033.22925110077,27641.659851096447,5.745480695407808,5.831353575671508,1,1810.7342345191678,109.53812982638699,152,7,10,136.888,964
7,33698.925613353276,27747.464315081146,10.098491078246434,11.077084367408528,1,2225.1577295523994,13.522179641870117,96,6,6,101.871,1378
8,34076.80882214196,26325.428767319565,9.308806552814895,7.614377581961252,1,2322.4439918395783,11.012246111940492,57,7,5,64.566,1475
9,30432.4136012272,26228.44685551906,6.982936190094376,8.094889166460801,1,2539.097589606217,5.137991978903308,49,5,6,53.624,1692
10,29953.366630626453,27093.7693533653,8.724631183349839,8.688108987190738,1,2576.1478759679962,5.256422018174874,147,7,10,126.917,1729
11,29671.12909051832,26418.592890674725,5.794512296271976,7.766066613007351,1,2831.775633333333,17.55061831291292,60,8,8,65.631,1985
12,34193.89050858652,26332.24889429835,4.643650321506322,3.689914170331072,1,2863.3186580470788,23.809485919589903,94,6,5,110.507,2016
13,31761.068445487108,25412.37381821693,6.764305933067536,6.88426747124456,1,3047.6698105316786,7.5682339497822095,141,7,8,160.855,2201
14,30340.856979125547,28811.940923945724,7.044226148156379,7.1755000623974015,1,3044.3790022440194,24.95280862279359,123,8,7,137.258,2197
15,32080.277575375523,27671.313089442814,8.673988913371845,9.990079040770192,1,3144.19309405191,131.5246073617081,56,7,6,58.625,2297
16,29673.98909829912,26460.725532476343,6.3501128460404095,7.593297010012558,1,3204.5724810231945,35.16152822158532,120,8,7,113.483,2358
18,29056.28898878782,25467.53145848878,7.7981763370306885,5.957075711828451,1,3223.081302322105,13.732214667881781,72,6,6,80.52,2376
19,31773.649453705115,26657.524012166297,4.942716149955539,4.2433197966084455,1,3252.94483386089,1323.6434398887343,197,9,11,159.859,2406
20,29148.64982169568,23557.32504947306,4.9213223430205195,4.717429748918558,1,3689.6226059607097,21.884387273842638,91,6,8,94.574,2843
21,31321.018636950568,24857.268300697797,7.07784990403977,7.885480151409088,1,3727.417705037404,32.77539579328144,93,6,6,88.759,2880
22,31194.822768846414,27195.595151794292,8.272095571327032,8.073389220454645,1,3845.894307783601,67.20688753149923,56,5,5,31.954,2999
23,29950.685169668166,27109.125733802266,10.422218051040327,9.255524727880244,1,3860.279302360152,2858.734819077196,68,5,6,68.132,3013
24,31856.363434780986,29815.749407508858,6.652897606890234,8.234636172423974,1,3929.3919266930607,8.109817314874423,82,6,5,127.162,3082
25,30040.85390023198,23672.947676241714,10.298327361774302,11.598159302023104,1,4324.422769962828,156.03174733040547,43,5,5,63.517,3477
26,27950.878988562898,28290.879699563102,8.56657924426222,10.191877072733746,1,4352.7693500000005,20.111333275730434,39,7,5,78.277,3506
