candidate_id,"x [nm]","y [nm]",Δx [nm],Δy [nm],p,"t [ms]",Δt [ms],N_events,x_dim [px],y_dim [px],t_dim [ms],frame
0,40231.72413793103,33132.87356321839,89.16221683882226,89.85183264592999,1,2225.423403533772,28.48796603703303,87,6,5,84.66,248
1,40304.0,29008.0,78.3836717690617,108.5172797300043,1,2433.8203333333336,28.047478084292887,5,4,3,64.364,457
2,36350.0,31345.0,96.0902353693305,100.20811677038276,1,2539.060018770352,7.48911715668179,48,6,7,53.624,562
3,35743.70370370371,32339.259259259263,84.85927995033889,97.2939770480253,1,2577.3024221928085,3.0646697519192525,54,7,4,36.267,600
4,35764.545454545456,32343.636363636364,103.99856960236926,106.62361390106,1,2606.488644963131,585.3064067249296,88,7,7,90.111,629
5,35429.62962962963,31530.37037037037,92.43542216181629,113.18557300689811,1,2815.4563632453473,6.1474147121393585,54,7,6,60.077,838
6,37918.933333333334,30322.13333333333,104.91359407732737,96.86132125650339,1,3049.5450453569383,10.180474012064183,75,6,7,63.381,1073
7,36234.20289855073,34417.391304347824,94.67573640623121,99.03376929420347,1,3044.5957572371917,53.6866725609682,69,7,7,60.181000000000004,1068
8,37942.153846153844,30352.0,126.69153705804574,129.2249082920043,1,3106.035634576791,38.8219139401785,65,8,8,96.168,1129
9,38300.0,33033.846153846156,111.90655442411281,103.88888009928695,1,3143.4098402944887,116.67782735631037,52,6,7,58.625,1166
10,36227.92452830189,34365.28301886793,130.38923573128582,125.7821383003753,1,3109.876919367122,5.96768121558943,53,7,7,74.33200000000001,1133
11,34669.71428571428,30401.14285714286,103.13612957877466,88.14829804925103,1,3223.5900066922013,122.67009751589781,70,6,7,64.09700000000001,1247
12,35440.0,31579.40594059406,100.69068408440842,98.56215591478673,1,3208.336516321357,17.785876827058146,101,6,7,98.918,1231
13,37943.63636363637,31830.0,95.84767529525237,86.81223206647573,1,3266.6046399999996,14.539336985928914,88,6,7,51.734,1290
14,37941.647058823524,31823.058823529413,130.67109189126478,120.91828577146649,1,3311.224524509973,135.51642180380748,85,8,8,88.883,1334
15,34134.4,32112.0,97.90117466098147,96.0,1,3321.5982001193493,812.687259033934,25,6,7,88.288,1345
16,38090.0,31750.0,74.16198487095663,162.17274740226856,1,3409.2662745243815,2704.4982740009923,8,7,4,25.683,1432
17,37412.17391304348,29686.95652173913,107.09429091019584,106.58471962465782,1,3727.4179507104704,32.76316017936333,92,7,7,78.937,1750
18,35755.07692307692,32355.692307692305,88.61538461538461,95.20777652092906,1,3863.9739900914383,5050.908241762755,65,6,6,45.214,1887
19,37241.42857142857,32478.571428571428,97.96917466057101,96.20344089904647,1,3845.8945579856827,67.20343055048266,56,6,6,31.954,1869
20,39624.34782608695,31172.17391304348,79.7728343734241,93.20181570069053,1,4234.719472441164,17.27455719268764,23,5,5,21.771,2258
21,34177.77777777778,32891.851851851854,98.18098681944232,91.61259160734997,1,4359.214142353765,1.5751955722680218,27,6,5,30.772000000000002,2382
22,35048.42105263158,31157.894736842103,72.92845505553167,70.4555811818169,1,4571.334321692255,2496402.0777835953,19,4,5,30.522000000000002,2594
23,33692.857142857145,32850.0,106.66560373620055,96.28825770273637,1,4562.60772758521,3.969533411446561,56,6,7,77.414,2586
24,36050.76923076923,31793.846153846152,104.10509028133643,100.88366960464614,1,4653.5789845599775,12.605586841188105,52,7,7,74.337,2677
25,33716.36363636363,32833.63636363637,121.75032031115059,112.95797507140168,1,4608.737797440457,4.291819741298012,88,7,8,98.409,2632
26,37505.6,28835.2,90.07019484824043,94.87338931439099,1,4756.497526736096,5.19236184809858,50,7,6,55.492000000000004,2779
27,36027.142857142855,31792.85714285714,114.4195644751975,113.41633615190736,1,4710.588682026806,16.37073345279639,112,8,7,97.71600000000001,2734
28,38339.13043478261,34662.608695652176,83.71343684562602,92.37058591227478,1,4767.688454932634,395.58384180306695,46,7,6,59.819,2791
29,35756.04938271605,32352.59259259259,103.58605907853348,108.34077214093169,1,4806.985647343452,1.5935938089779866,162,8,7,93.57900000000001,2830
30,33932.97297297297,30694.054054054053,93.94837181578565,93.09859520696642,1,4907.975645834535,12.023312583161072,37,6,6,60.576,2931
31,40096.271186440674,33985.08474576271,94.05909258860815,93.70659006465624,1,4926.246118869049,315.27061704401393,59,5,6,76.43,2949
32,38104.0,32016.0,107.6289923765897,93.2952303175248,1,5035.462222222222,10.956472493744121,10,4,5,35.804,3058
33,36424.0,34584.0,107.6289923765897,107.6289923765897,1,5095.950700000001,19.472276651948075,10,6,6,67.483,3119
34,37577.5,31062.5,120.38999127834506,115.29852557600206,1,5165.21652,26.58927137191995,32,7,7,98.499,3188
35,36439.65217391304,34591.30434782609,105.17009357336632,103.20533976015703,1,5108.304654023508,3.02886165368254,115,7,7,97.446,3131
36,36427.42857142857,34550.857142857145,123.85112854074575,142.81599407372167,1,5211.175232010967,4.665706591264473,35,7,7,95.074,3234
37,36240.0,34777.93103448276,102.9228033444283,88.87726175772144,1,5350.225766080605,297.57834759593624,29,6,6,75.824,3373
38,38355.555555555555,34661.11111111111,87.31947868617111,104.1307345433768,1,5443.1314155687905,251.77677428184805,72,8,6,63.607,3466
39,36346.30136986301,31411.50684931507,95.53751109130243,102.88537621070543,1,5536.436465006925,1.5086189287909213,73,7,6,80.843,3559
40,38368.88888888889,34853.333333333336,96.66028075969575,81.4680123547705,1,5552.061935163882,13.069887016875027,54,5,6,93.944,3575
41,36339.555555555555,31409.777777777777,118.24561172135743,120.7842684548482,1,5615.185726926848,7.122068524546871,45,7,6,96.625,3638
42,38387.36842105263,34861.05263157895,113.91788849236787,92.55978078728677,1,5606.427070029726,17.289233700023807,38,6,6,51.275,3629
43,37490.98039215686,29680.0,106.73872998250253,105.08633238866965,1,5708.251784549005,2.3852526866426085,102,7,6,95.193,3731
44,38960.0,31105.30612244898,80.81220356417687,100.51098103916007,1,5920.3053735593185,107.01294415074238,49,7,5,48.567,3943
45,37836.52173913043,33304.34782608695,109.3303210121858,89.62851288156608,1,6286.553884557964,2280.6112784585453,23,6,6,90.348,4310
46,37836.065573770495,33325.90163934426,92.10255667451509,113.56195751233712,1,6305.475995742803,11.591646780387137,61,7,5,88.791,4328
47,36134.260869565216,34460.86956521739,115.59344700521827,115.06947026369544,1,6428.298839237508,75.7106512313674,230,8,7,77.233,4451
48,36224.262295081964,34486.55737704918,146.16921494627823,162.1463136668333,1,6506.5674768281215,172.4131688163425,61,8,8,42.419000000000004,4530
49,38670.76923076923,34763.07692307692,127.60886986663212,92.1023356744355,1,6545.77420744664,2.5997505891495636,13,5,7,76.874,4569
50,35826.50602409639,32318.072289156626,86.76840431750861,90.38682374554355,1,6839.158210801147,101.52243283006399,83,6,5,65.807,4862
51,37332.17391304348,29697.391304347824,80.37718266637455,74.43803324880938,1,6982.855907888569,311795.35824171687,23,4,5,21.473,5006
52,35824.51612903226,32358.709677419356,115.69812527205107,118.26001793434428,1,6906.371402908057,37.446295247801245,31,6,7,52.172000000000004,4929
53,37307.142857142855,29684.285714285717,108.26083393021369,107.35217648430967,1,7007.69842999746,10.987294368837693,56,7,6,77.32600000000001,5031
54,36625.454545454544,33512.72727272727,82.2815163562528,89.95866819529441,1,7297.039277941533,201878.8680929482,22,5,5,33.381,5320
55,36351.57894736842,34627.36842105263,101.42475343533393,109.39268258329753,1,7222.203280168491,62.4501789609967,38,7,6,48.275,5245
56,36665.90476190476,33533.71428571429,113.40357967051203,118.6371590615861,1,7308.100620871976,3.764401169259044,105,7,8,92.294,5331
57,37054.117647058825,32661.176470588234,85.61602540546002,97.61161653031311,1,7549.744601870302,332.98153042641803,34,6,5,67.614,5573
58,38780.9900990099,34317.623762376235,105.09312184156505,102.22425856571361,1,7535.95269925445,1.238183772250319,101,7,7,75.488,5559
59,38790.204081632655,34313.4693877551,126.88561128310496,117.48297350208013,1,7608.78596724363,3.8931121758453617,49,7,7,98.965,5632
60,34145.18518518519,35102.22222222222,78.61629132694281,98.18098681944232,1,7638.465882352942,27.87141441118978,27,6,5,93.98100000000001,5661
61,34128.0,35096.0,117.02991070662235,91.56418513807678,1,7703.998831012647,7542.146687024094,20,5,7,90.506,5727
62,36506.666666666664,31514.074074074073,111.02218663819374,86.89113065846031,1,7887.725840607569,5.786863099945903,27,5,6,68.69,5911
63,36535.813953488374,31514.418604651164,96.8871930514719,99.70426795887823,1,7925.17820941012,1698.4639389482045,43,6,6,74.121,5948
64,37872.0,33364.0,92.6066952223218,92.8654941299512,1,8077.1874285714275,6.793236307579304,20,6,5,24.248,6100
65,38947.096774193546,31081.290322580644,101.79655702356655,85.90099084951348,1,8129.365847929877,134140911.32938202,31,5,6,48.183,6152
66,36220.4081632653,34514.28571428572,110.24942377883514,92.84615319583955,1,8761.542,27.301060963999102,49,6,7,98.342,6785
67,35496.55172413793,31478.620689655174,92.78361411774972,93.06001541204412,1,8850.084383198342,110.418280644727,58,6,5,59.232,6873
68,39794.28571428572,33675.42857142857,88.22975572854301,97.40468915502865,1,8807.789251686145,40.2162118540356,35,6,6,43.479,6831
